"Name","Path","IsInBuild","IsDirectlyUsedInTemplates","IsIncludedByUsedSections","TemplateUsageCount","IncludedByCount","IsLikelyDeprecated","DeprecationReason","IsActuallyUsed"
"main-reset-password","src/liquid/sections/originals/main-reset-password.liquid","True","True","False","1","0","True","Located in 'originals' directory, likely kept for reference","True"
"main-search","src/liquid/sections/originals/main-search.liquid","True","True","False","1","0","True","Located in 'originals' directory, likely kept for reference","True"
"multicolumn","src/liquid/sections/originals/multicolumn.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"multirow","src/liquid/sections/originals/multirow.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"newsletter","src/liquid/sections/originals/newsletter.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"page","src/liquid/sections/originals/page.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"pickup-availability","src/liquid/sections/originals/pickup-availability.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"predictive-search","src/liquid/sections/originals/predictive-search.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"related-products","src/liquid/sections/originals/related-products.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"rich-text","src/liquid/sections/originals/rich-text.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"slideshow","src/liquid/sections/originals/slideshow.liquid","True","False","False","0","0","True","Located in 'originals' directory, likely kept for reference","False"
"contact","src/liquid/sections/pages/contact.liquid","True","False","False","0","0","False","","False"
"my-account","src/liquid/sections/pages/my-account.liquid","True","True","False","1","0","False","","True"
"partnerships","src/liquid/sections/pages/partnerships.liquid","True","False","False","0","0","False","","False"
"refer-friend","src/liquid/sections/pages/refer-friend.liquid","True","True","False","1","0","False","","True"
"reset-password","src/liquid/sections/pages/reset-password.liquid","True","False","False","0","0","False","","False"
"rewards","src/liquid/sections/pages/rewards.liquid","True","True","False","1","0","False","","True"
